2020-03-24T03:40:45.7882458Z ##[section]Starting: Fetch master branch
2020-03-24T03:40:45.7986433Z ==============================================================================
2020-03-24T03:40:45.7986743Z Task         : PowerShell
2020-03-24T03:40:45.7987031Z Description  : Run a PowerShell script on Linux, macOS, or Windows
2020-03-24T03:40:45.7987289Z Version      : 2.165.0
2020-03-24T03:40:45.7987510Z Author       : Microsoft Corporation
2020-03-24T03:40:45.7987977Z Help         : https://docs.microsoft.com/azure/devops/pipelines/tasks/utility/powershell
2020-03-24T03:40:45.7988367Z ==============================================================================
2020-03-24T03:40:47.7668847Z remote: Azure Repos        
2020-03-24T03:40:47.7669348Z remote: 
2020-03-24T03:40:47.7669830Z remote: Found 5428 objects to send. (60 ms)        
2020-03-24T03:40:47.7670554Z Receiving objects:   0% (1/5428)
2020-03-24T03:40:47.7671047Z Receiving objects:   1% (55/5428)
2020-03-24T03:40:47.7671513Z Receiving objects:   2% (109/5428)
2020-03-24T03:40:47.7672109Z Receiving objects:   3% (163/5428)
2020-03-24T03:40:47.7672589Z Receiving objects:   4% (218/5428)
2020-03-24T03:40:47.7673087Z Receiving objects:   5% (272/5428)
2020-03-24T03:40:47.7673564Z Receiving objects:   6% (326/5428)
2020-03-24T03:40:47.7674037Z Receiving objects:   7% (380/5428)
2020-03-24T03:40:47.7674524Z Receiving objects:   8% (435/5428)
2020-03-24T03:40:47.7675069Z Receiving objects:   9% (489/5428)
2020-03-24T03:40:47.7675664Z Receiving objects:  10% (543/5428)
2020-03-24T03:40:47.7676166Z Receiving objects:  11% (598/5428)
2020-03-24T03:40:47.7676615Z Receiving objects:  12% (652/5428)
2020-03-24T03:40:47.7677065Z Receiving objects:  13% (706/5428)
2020-03-24T03:40:47.7677523Z Receiving objects:  14% (760/5428)
2020-03-24T03:40:47.7678027Z Receiving objects:  15% (815/5428)
2020-03-24T03:40:47.7678500Z Receiving objects:  16% (869/5428)
2020-03-24T03:40:47.7678946Z Receiving objects:  17% (923/5428)
2020-03-24T03:40:47.7679390Z Receiving objects:  18% (978/5428)
2020-03-24T03:40:47.7679870Z Receiving objects:  19% (1032/5428)
2020-03-24T03:40:47.7680321Z Receiving objects:  20% (1086/5428)
2020-03-24T03:40:47.7680767Z Receiving objects:  21% (1140/5428)
2020-03-24T03:40:47.7681362Z Receiving objects:  22% (1195/5428)
2020-03-24T03:40:47.7681827Z Receiving objects:  23% (1249/5428)
2020-03-24T03:40:47.7682296Z Receiving objects:  24% (1303/5428)
2020-03-24T03:40:47.7682787Z Receiving objects:  25% (1357/5428)
2020-03-24T03:40:47.7683258Z Receiving objects:  26% (1412/5428)
2020-03-24T03:40:47.7683795Z Receiving objects:  27% (1466/5428)
2020-03-24T03:40:47.7684267Z Receiving objects:  28% (1520/5428)
2020-03-24T03:40:47.7684738Z Receiving objects:  29% (1575/5428)
2020-03-24T03:40:47.7685223Z Receiving objects:  30% (1629/5428)
2020-03-24T03:40:47.7685707Z Receiving objects:  31% (1683/5428)
2020-03-24T03:40:47.7686297Z Receiving objects:  32% (1737/5428)
2020-03-24T03:40:47.7686767Z Receiving objects:  33% (1792/5428)
2020-03-24T03:40:47.7687226Z Receiving objects:  34% (1846/5428)
2020-03-24T03:40:47.7687800Z Receiving objects:  35% (1900/5428)
2020-03-24T03:40:47.7688281Z Receiving objects:  36% (1955/5428)
2020-03-24T03:40:47.7688753Z Receiving objects:  37% (2009/5428)
2020-03-24T03:40:47.7689245Z Receiving objects:  38% (2063/5428)
2020-03-24T03:40:47.7689716Z Receiving objects:  39% (2117/5428)
2020-03-24T03:40:47.7690179Z Receiving objects:  40% (2172/5428)
2020-03-24T03:40:47.7690724Z Generating script.
2020-03-24T03:40:47.7724066Z ========================== Starting Command Output ===========================
2020-03-24T03:40:47.7725915Z ##[command]"C:\windows\System32\WindowsPowerShell\v1.0\powershell.exe" -NoLogo -NoProfile -NonInteractive -ExecutionPolicy Unrestricted -Command ". 'd:\work\_temp\d7f3d502-b07b-43ff-9854-04c0391315ea.ps1'"
2020-03-24T03:40:47.7732882Z Receiving objects:  41% (2226/5428)
2020-03-24T03:40:47.7806666Z Receiving objects:  42% (2280/5428)
2020-03-24T03:40:47.7937969Z Receiving objects:  43% (2335/5428)
2020-03-24T03:40:47.7983778Z Receiving objects:  44% (2389/5428)
2020-03-24T03:40:47.8085334Z Receiving objects:  45% (2443/5428)
2020-03-24T03:40:47.8131170Z Receiving objects:  46% (2497/5428)
2020-03-24T03:40:47.8159344Z Receiving objects:  47% (2552/5428)
2020-03-24T03:40:47.8207831Z Receiving objects:  48% (2606/5428)
2020-03-24T03:40:47.8251507Z Receiving objects:  49% (2660/5428)
2020-03-24T03:40:47.8389847Z Receiving objects:  50% (2714/5428)
2020-03-24T03:40:47.8428821Z Receiving objects:  51% (2769/5428)
2020-03-24T03:40:47.8662729Z Receiving objects:  52% (2823/5428)
2020-03-24T03:40:47.8804880Z Receiving objects:  53% (2877/5428)
2020-03-24T03:40:47.8876491Z Receiving objects:  54% (2932/5428)
2020-03-24T03:40:47.8923328Z Receiving objects:  55% (2986/5428)
2020-03-24T03:40:47.8959580Z Receiving objects:  56% (3040/5428)
2020-03-24T03:40:47.8982322Z Receiving objects:  57% (3094/5428)
2020-03-24T03:40:47.9004160Z Receiving objects:  58% (3149/5428)
2020-03-24T03:40:47.9020482Z Receiving objects:  59% (3203/5428)
2020-03-24T03:40:47.9051746Z Receiving objects:  60% (3257/5428)
2020-03-24T03:40:47.9077471Z Receiving objects:  61% (3312/5428)
2020-03-24T03:40:47.9107206Z Receiving objects:  62% (3366/5428)
2020-03-24T03:40:47.9170675Z Receiving objects:  63% (3420/5428)
2020-03-24T03:40:47.9276193Z Receiving objects:  64% (3474/5428)
2020-03-24T03:40:47.9343654Z Receiving objects:  65% (3529/5428)
2020-03-24T03:40:47.9440925Z Receiving objects:  66% (3583/5428)
2020-03-24T03:40:47.9532247Z Receiving objects:  67% (3637/5428)
2020-03-24T03:40:47.9598548Z Receiving objects:  68% (3692/5428)
2020-03-24T03:40:47.9685802Z Receiving objects:  69% (3746/5428)
2020-03-24T03:40:47.9781356Z Receiving objects:  70% (3800/5428)
2020-03-24T03:40:48.0122621Z Receiving objects:  71% (3854/5428)
2020-03-24T03:40:48.0394185Z Receiving objects:  72% (3909/5428)
2020-03-24T03:40:48.0503540Z Receiving objects:  73% (3963/5428)
2020-03-24T03:40:48.0618093Z Receiving objects:  74% (4017/5428)
2020-03-24T03:40:48.0734268Z Receiving objects:  75% (4071/5428)
2020-03-24T03:40:48.1220954Z Receiving objects:  76% (4126/5428)
2020-03-24T03:40:48.1674326Z Receiving objects:  77% (4180/5428)
2020-03-24T03:40:48.1809290Z Receiving objects:  78% (4234/5428)
2020-03-24T03:40:48.1951464Z Receiving objects:  79% (4289/5428)
2020-03-24T03:40:48.2053587Z Receiving objects:  80% (4343/5428)
2020-03-24T03:40:48.2361208Z Receiving objects:  81% (4397/5428), 4.96 MiB | 9.91 MiB/s
2020-03-24T03:40:48.2918240Z Receiving objects:  82% (4451/5428), 4.96 MiB | 9.91 MiB/s
2020-03-24T03:40:48.3303832Z Receiving objects:  83% (4506/5428), 4.96 MiB | 9.91 MiB/s
2020-03-24T03:40:48.3339382Z Receiving objects:  84% (4560/5428), 4.96 MiB | 9.91 MiB/s
